video_name,fold,total_frames,top1_frame,top1_score,top2_frame,top2_score,top3_frame,top3_score,mean_attention,std_attention,min_attention,max_attention
25-5_QPIG_15_1,fold0,92,11,1.036038,6,1.035985,10,1.035891,1.035429,0.000213,1.034945,1.036038
25-5_QPIG_15_1,fold1,92,13,0.858631,11,0.858532,6,0.858489,0.857588,0.000453,0.856706,0.858631
25-5_QPIG_15_1,fold2,92,11,1.362544,10,1.362265,6,1.362047,1.360789,0.000658,1.359587,1.362544
25-5_QPIG_15_1,fold3,92,6,0.876541,7,0.876470,5,0.876431,0.875019,0.000936,0.871493,0.876541
25-5_QPIG_15_1,fold4,92,75,0.899132,91,0.899120,11,0.899119,0.898624,0.000263,0.897887,0.899132
25-7_APXG_15_1,fold0,96,1,1.017489,30,1.017462,70,1.017399,1.017015,0.000298,1.015912,1.017489
25-7_APXG_15_1,fold1,96,7,0.878797,6,0.878785,3,0.878662,0.877878,0.000517,0.876317,0.878797
25-7_APXG_15_1,fold2,96,1,1.350368,70,1.350314,40,1.350306,1.349799,0.000361,1.348434,1.350368
25-7_APXG_15_1,fold3,96,25,0.795778,18,0.795700,28,0.795604,0.790536,0.003133,0.783850,0.795778
25-7_APXG_15_1,fold4,96,27,0.826256,29,0.825970,22,0.825949,0.825278,0.000389,0.824147,0.826256
25-24_QLD_15_1,fold0,67,60,1.128560,15,1.128487,1,1.128484,1.127587,0.000618,1.126299,1.128560
25-24_QLD_15_1,fold1,67,41,1.024318,40,1.024135,25,1.024086,1.023378,0.000374,1.022484,1.024318
25-24_QLD_15_1,fold2,67,1,1.390869,2,1.390702,16,1.390534,1.388628,0.001777,1.384415,1.390869
25-24_QLD_15_1,fold3,67,6,0.779599,38,0.779526,7,0.779432,0.777936,0.000918,0.775312,0.779599
25-24_QLD_15_1,fold4,67,7,0.897247,6,0.896721,15,0.896652,0.894452,0.001745,0.890543,0.897247
25-31_UNKNOWN_15_1,fold0,110,96,0.986149,92,0.985997,29,0.985968,0.984687,0.000675,0.982748,0.986149
25-31_UNKNOWN_15_1,fold1,110,21,0.802562,29,0.802100,96,0.801946,0.799793,0.001434,0.795620,0.802562
25-31_UNKNOWN_15_1,fold2,110,36,1.298542,96,1.298439,65,1.298388,1.296316,0.001152,1.292939,1.298542
25-31_UNKNOWN_15_1,fold3,110,81,0.819672,10,0.819561,80,0.819440,0.816083,0.001488,0.813069,0.819672
25-31_UNKNOWN_15_1,fold4,110,80,0.828792,82,0.828691,81,0.828597,0.826514,0.000788,0.824973,0.828792
25-34_QASD_15_1,fold0,81,33,1.061085,6,1.060972,38,1.060955,1.060462,0.000315,1.059666,1.061085
25-34_QASD_15_1,fold1,81,0,0.810982,1,0.810796,43,0.810788,0.809791,0.000449,0.808859,0.810982
25-34_QASD_15_1,fold2,81,72,1.414323,59,1.414321,33,1.414303,1.413957,0.000164,1.413616,1.414323
25-34_QASD_15_1,fold3,81,20,0.888968,8,0.888947,62,0.888946,0.888863,0.000046,0.888763,0.888968
25-34_QASD_15_1,fold4,81,72,1.075423,59,1.075401,28,1.075348,1.075128,0.000116,1.074842,1.075423
25-1_QAIG_15_1,fold0,93,16,1.010013,17,1.009990,15,1.009840,1.008645,0.000623,1.007444,1.010013
25-1_QAIG_15_1,fold1,93,17,0.771602,16,0.771330,18,0.770840,0.769655,0.000594,0.768147,0.771602
25-1_QAIG_15_1,fold2,93,78,1.311869,24,1.311721,19,1.311571,1.309918,0.000840,1.307361,1.311869
25-1_QAIG_15_1,fold3,93,47,0.816004,68,0.815894,70,0.815611,0.812776,0.001694,0.808373,0.816004
25-1_QAIG_15_1,fold4,93,19,0.862763,15,0.862644,16,0.862486,0.859742,0.001453,0.856676,0.862763
25-4_QLD_15_1,fold0,143,60,1.092251,31,1.092206,29,1.092189,1.091199,0.000460,1.090121,1.092251
25-4_QLD_15_1,fold1,143,30,1.000828,134,1.000820,116,1.000745,0.999681,0.000590,0.997996,1.000828
25-4_QLD_15_1,fold2,143,60,1.312877,54,1.312572,27,1.312569,1.311065,0.000840,1.309102,1.312877
25-4_QLD_15_1,fold3,143,65,0.779004,64,0.778575,139,0.777414,0.771576,0.002874,0.765912,0.779004
25-4_QLD_15_1,fold4,143,51,0.841345,55,0.841190,54,0.841132,0.839738,0.000721,0.837651,0.841345
25-12_QPID_15_1,fold0,115,76,1.051092,38,1.050783,74,1.050689,1.049086,0.001062,1.045719,1.051092
25-12_QPID_15_1,fold1,115,91,0.821922,81,0.821604,99,0.821489,0.818096,0.001823,0.814145,0.821922
25-12_QPID_15_1,fold2,115,110,1.377590,6,1.377586,99,1.377565,1.375635,0.001076,1.372900,1.377590
25-12_QPID_15_1,fold3,115,103,0.860098,67,0.859801,74,0.859777,0.858443,0.000770,0.856703,0.860098
25-12_QPID_15_1,fold4,115,65,0.990992,66,0.990655,61,0.990532,0.987613,0.001667,0.982816,0.990992
25-14_QLG_15_2,fold0,97,88,1.079772,87,1.079685,89,1.079519,1.078215,0.000659,1.076443,1.079772
25-14_QLG_15_2,fold1,97,38,0.923816,32,0.923762,88,0.923708,0.922096,0.000820,0.919556,0.923816
25-14_QLG_15_2,fold2,97,87,1.320577,88,1.320537,30,1.320308,1.318082,0.001058,1.314914,1.320577
25-14_QLG_15_2,fold3,97,71,0.836190,87,0.836158,70,0.835798,0.834362,0.000718,0.832790,0.836190
25-14_QLG_15_2,fold4,97,7,0.864491,30,0.864237,6,0.864049,0.862274,0.000868,0.860208,0.864491
25-9_APXD_15_1,fold0,116,66,0.891560,100,0.891542,67,0.891535,0.891425,0.000054,0.891318,0.891560
25-9_APXD_15_1,fold1,116,84,0.724347,100,0.724296,52,0.724265,0.724148,0.000075,0.723904,0.724347
25-9_APXD_15_1,fold2,116,43,1.163809,42,1.163800,38,1.163731,1.163367,0.000206,1.162924,1.163809
25-9_APXD_15_1,fold3,116,46,0.683446,47,0.683364,55,0.683204,0.682507,0.000319,0.681988,0.683446
25-9_APXD_15_1,fold4,116,47,0.705061,33,0.705027,46,0.705023,0.704797,0.000107,0.704531,0.705061
