INTER-VIDEO STATISTICS (across all videos)
metric,mean,std,min,max
intra_video_mean,0.982313,0.059523,0.833249,1.049640
intra_video_std,0.000825,0.000376,0.000152,0.001280
intra_video_min,0.980261,0.059227,0.832933,1.049149
intra_video_max,0.984040,0.059713,0.833645,1.050156

PER-VIDEO STATISTICS (averaged across folds)
video_name,mean,std,min,max
25-12_QPID_15_1,1.017775,0.001280,1.014457,1.020339
25-14_QLG_15_2,1.003006,0.000825,1.000782,1.004969
25-1_QAIG_15_1,0.952147,0.001041,0.949600,0.954450
25-24_QLD_15_1,1.042396,0.001086,1.039811,1.044119
25-31_UNKNOWN_15_1,0.944679,0.001107,0.941870,0.947143
25-34_QASD_15_1,1.049640,0.000218,1.049149,1.050156
25-4_QLD_15_1,1.002652,0.001097,1.000156,1.005261
25-5_QPIG_15_1,1.005490,0.000505,1.004124,1.006577
25-7_APXG_15_1,0.972101,0.000940,0.969732,0.973738
25-9_APXD_15_1,0.833249,0.000152,0.832933,0.833645
